tag;id;titre;url;ancre
algebre::affine;p04-01;Une matrice est une action;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-01-matrice-action.html#s7;s7
algebre::conditionnement;b06;Convexité et forme fermée;https://learnings-ek5.pages.dev/sheets/bridges/bridge-06-convexite-forme-fermee.html;
algebre::conditionnement;p04-03;Spectral, SVD, conditionnement;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-03-spectral-svd-conditionnement.html#s6;s6
algebre::diagonalisation;p04-02;Valeurs propres et itération;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-02-valeurs-propres-iteration.html;
algebre::eigen;p02-02;Du prior à la pénalité;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-02-prior-penalite.html;
algebre::eigen;p03-02;Gradient et descente;https://learnings-ek5.pages.dev/sheets/chains/chain-p03-02-gradient-descente.html;
algebre::eigen;p04-02;Valeurs propres et itération;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-02-valeurs-propres-iteration.html;
algebre::markov;p04-02;Valeurs propres et itération;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-02-valeurs-propres-iteration.html;
algebre::matrice-action;p04-01;Une matrice est une action;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-01-matrice-action.html;
algebre::noyau;p04-01;Une matrice est une action;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-01-matrice-action.html#s5;s5
algebre::power-iteration;p04-02;Valeurs propres et itération;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-02-valeurs-propres-iteration.html;
algebre::spectral;p04-03;Spectral, SVD, conditionnement;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-03-spectral-svd-conditionnement.html#s2;s2
algebre::spectral;p04-04;PCA, diagonaliser la covariance;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-04-pca.html;
algebre::svd;p04-03;Spectral, SVD, conditionnement;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-03-spectral-svd-conditionnement.html;
algebre::temoin;b02;Le témoin atteignable;https://learnings-ek5.pages.dev/sheets/bridges/bridge-02-temoin-atteignable.html;
algebre::temoin;p04-01;Une matrice est une action;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-01-matrice-action.html#s8;s8
